00130 A1831   1 Tuberculous peritonitis                                      Tuberculous peritonitis
00131 A1832   1 Tuberculous enteritis                                        Tuberculous enteritis
00132 A1839   1 Retroperitoneal tuberculosis                                 Retroperitoneal tuberculosis
00133 A184    1 Tuberculosis of skin and subcutaneous tissue                 Tuberculosis of skin and subcutaneous tissue
00134 A185    0 Tuberculosis of eye                                          Tuberculosis of eye
00135 A1850   1 Tuberculosis of eye, unspecified                             Tuberculosis of eye, unspecified
00136 A1851   1 Tuberculous episcleritis                                     Tuberculous episcleritis
00137 A1852   1 Tuberculous keratitis                                        Tuberculous keratitis
00138 A1853   1 Tuberculous chorioretinitis                                  Tuberculous chorioretinitis
00139 A1854   1 Tuberculous iridocyclitis                                    Tuberculous iridocyclitis
00140 A1859   1 Other tuberculosis of eye                                    Other tuberculosis of eye
00141 A186    1 Tuberculosis of (inner) (middle) ear                         Tuberculosis of (inner) (middle) ear
00142 A187    1 Tuberculosis of adrenal glands                               Tuberculosis of adrenal glands
00143 A188    0 Tuberculosis of other specified organs                       Tuberculosis of other specified organs
00144 A1881   1 Tuberculosis of thyroid gland                                Tuberculosis of thyroid gland
00145 A1882   1 Tuberculosis of other endocrine glands                       Tuberculosis of other endocrine glands
00146 A1883   1 Tuberculosis of digestive tract organs, NEC                  Tuberculosis of digestive tract organs, not elsewhere classified
00147 A1884   1 Tuberculosis of heart                                        Tuberculosis of heart
00148 A1885   1 Tuberculosis of spleen                                       Tuberculosis of spleen
00149 A1889   1 Tuberculosis of other sites                                  Tuberculosis of other sites
00150 A19     0 Miliary tuberculosis                                         Miliary tuberculosis
00151 A190    1 Acute miliary tuberculosis of a single specified site        Acute miliary tuberculosis of a single specified site
00152 A191    1 Acute miliary tuberculosis of multiple sites                 Acute miliary tuberculosis of multiple sites
00153 A192    1 Acute miliary tuberculosis, unspecified                      Acute miliary tuberculosis, unspecified
00154 A198    1 Other miliary tuberculosis                                   Other miliary tuberculosis
00155 A199    1 Miliary tuberculosis, unspecified                            Miliary tuberculosis, unspecified
00156 A20     0 Plague                                                       Plague
00157 A200    1 Bubonic plague                                               Bubonic plague
00158 A201    1 Cellulocutaneous plague                                      Cellulocutaneous plague
00159 A202    1 Pneumonic plague                                             Pneumonic plague
00160 A203    1 Plague meningitis                                            Plague meningitis
00161 A207    1 Septicemic plague                                            Septicemic plague
00162 A208    1 Other forms of plague                                        Other forms of plague
00163 A209    1 Plague, unspecified                                          Plague, unspecified
00164 A21     0 Tularemia                                                    Tularemia
00165 A210    1 Ulceroglandular tularemia                                    Ulceroglandular tularemia
00166 A211    1 Oculoglandular tularemia                                     Oculoglandular tularemia
00167 A212    1 Pulmonary tularemia                                          Pulmonary tularemia
00168 A213    1 Gastrointestinal tularemia                                   Gastrointestinal tularemia
00169 A217    1 Generalized tularemia                                        Generalized tularemia
00170 A218    1 Other forms of tularemia                                     Other forms of tularemia
00171 A219    1 Tularemia, unspecified                                       Tularemia, unspecified
00172 A22     0 Anthrax                                                      Anthrax
00173 A220    1 Cutaneous anthrax                                            Cutaneous anthrax
00174 A221    1 Pulmonary anthrax                                            Pulmonary anthrax
00175 A222    1 Gastrointestinal anthrax                                     Gastrointestinal anthrax
00176 A227    1 Anthrax sepsis                                               Anthrax sepsis
00177 A228    1 Other forms of anthrax                                       Other forms of anthrax
00178 A229    1 Anthrax, unspecified                                         Anthrax, unspecified
00179 A23     0 Brucellosis                                                  Brucellosis
00180 A230    1 Brucellosis due to Brucella melitensis                       Brucellosis due to Brucella melitensis
