00001 A00     0 Cholera                                                      Cholera
41934 S43201S 1 Unsp subluxation of right sternoclavicular joint, sequela    Unspecified subluxation of right sternoclavicular joint, sequela
41935 S43202  0 Unspecified subluxation of left sternoclavicular joint       Unspecified subluxation of left sternoclavicular joint
41936 S43202A 1 Unsp subluxation of left sternoclavicular joint, init encntr Unspecified subluxation of left sternoclavicular joint, initial encounter
41937 S43202D 1 Unsp subluxation of left sternoclavicular joint, subs encntr Unspecified subluxation of left sternoclavicular joint, subsequent encounter
41938 S43202S 1 Unsp subluxation of left sternoclavicular joint, sequela     Unspecified subluxation of left sternoclavicular joint, sequela
41939 S43203  0 Unsp subluxation of unspecified sternoclavicular joint       Unspecified subluxation of unspecified sternoclavicular joint
41940 S43203A 1 Unsp subluxation of unsp sternoclavicular joint, init encntr Unspecified subluxation of unspecified sternoclavicular joint, initial encounter
41941 S43203D 1 Unsp subluxation of unsp sternoclavicular joint, subs encntr Unspecified subluxation of unspecified sternoclavicular joint, subsequent encounter
41942 S43203S 1 Unsp subluxation of unsp sternoclavicular joint, sequela     Unspecified subluxation of unspecified sternoclavicular joint, sequela
41943 S43204  0 Unspecified dislocation of right sternoclavicular joint      Unspecified dislocation of right sternoclavicular joint
41944 S43204A 1 Unsp dislocation of right sternoclavicular joint, init       Unspecified dislocation of right sternoclavicular joint, initial encounter
41945 S43204D 1 Unsp dislocation of right sternoclavicular joint, subs       Unspecified dislocation of right sternoclavicular joint, subsequent encounter
41946 S43204S 1 Unsp dislocation of right sternoclavicular joint, sequela    Unspecified dislocation of right sternoclavicular joint, sequela
41947 S43205  0 Unspecified dislocation of left sternoclavicular joint       Unspecified dislocation of left sternoclavicular joint
41948 S43205A 1 Unsp dislocation of left sternoclavicular joint, init encntr Unspecified dislocation of left sternoclavicular joint, initial encounter
41949 S43205D 1 Unsp dislocation of left sternoclavicular joint, subs encntr Unspecified dislocation of left sternoclavicular joint, subsequent encounter
41950 S43205S 1 Unsp dislocation of left sternoclavicular joint, sequela     Unspecified dislocation of left sternoclavicular joint, sequela
41951 S43206  0 Unsp dislocation of unspecified sternoclavicular joint       Unspecified dislocation of unspecified sternoclavicular joint
41952 S43206A 1 Unsp dislocation of unsp sternoclavicular joint, init encntr Unspecified dislocation of unspecified sternoclavicular joint, initial encounter
41953 S43206D 1 Unsp dislocation of unsp sternoclavicular joint, subs encntr Unspecified dislocation of unspecified sternoclavicular joint, subsequent encounter
41954 S43206S 1 Unsp dislocation of unsp sternoclavicular joint, sequela     Unspecified dislocation of unspecified sternoclavicular joint, sequela
41955 S4321   0 Anterior subluxation and dislocation of sternoclav jt        Anterior subluxation and dislocation of sternoclavicular joint
41956 S43211  0 Anterior subluxation of right sternoclavicular joint         Anterior subluxation of right sternoclavicular joint
41957 S43211A 1 Anterior subluxation of right sternoclavicular joint, init   Anterior subluxation of right sternoclavicular joint, initial encounter
41958 S43211D 1 Anterior subluxation of right sternoclavicular joint, subs   Anterior subluxation of right sternoclavicular joint, subsequent encounter
41959 S43211S 1 Anterior subluxation of r sternoclav jt, sequela             Anterior subluxation of right sternoclavicular joint, sequela
41960 S43212  0 Anterior subluxation of left sternoclavicular joint          Anterior subluxation of left sternoclavicular joint
41961 S43212A 1 Anterior subluxation of left sternoclavicular joint, init    Anterior subluxation of left sternoclavicular joint, initial encounter
41962 S43212D 1 Anterior subluxation of left sternoclavicular joint, subs    Anterior subluxation of left sternoclavicular joint, subsequent encounter
41963 S43212S 1 Anterior subluxation of left sternoclavicular joint, sequela Anterior subluxation of left sternoclavicular joint, sequela
41964 S43213  0 Anterior subluxation of unspecified sternoclavicular joint   Anterior subluxation of unspecified sternoclavicular joint
41965 S43213A 1 Anterior subluxation of unsp sternoclavicular joint, init    Anterior subluxation of unspecified sternoclavicular joint, initial encounter
41966 S43213D 1 Anterior subluxation of unsp sternoclavicular joint, subs    Anterior subluxation of unspecified sternoclavicular joint, subsequent encounter
41967 S43213S 1 Anterior subluxation of unsp sternoclavicular joint, sequela Anterior subluxation of unspecified sternoclavicular joint, sequela
41968 S43214  0 Anterior dislocation of right sternoclavicular joint         Anterior dislocation of right sternoclavicular joint
41969 S43214A 1 Anterior dislocation of right sternoclavicular joint, init   Anterior dislocation of right sternoclavicular joint, initial encounter
41970 S43214D 1 Anterior dislocation of right sternoclavicular joint, subs   Anterior dislocation of right sternoclavicular joint, subsequent encounter
41971 S43214S 1 Anterior dislocation of r sternoclav jt, sequela             Anterior dislocation of right sternoclavicular joint, sequela
41972 S43215  0 Anterior dislocation of left sternoclavicular joint          Anterior dislocation of left sternoclavicular joint
41973 S43215A 1 Anterior dislocation of left sternoclavicular joint, init    Anterior dislocation of left sternoclavicular joint, initial encounter
41974 S43215D 1 Anterior dislocation of left sternoclavicular joint, subs    Anterior dislocation of left sternoclavicular joint, subsequent encounter
41975 S43215S 1 Anterior dislocation of left sternoclavicular joint, sequela Anterior dislocation of left sternoclavicular joint, sequela
41976 S43216  0 Anterior dislocation of unspecified sternoclavicular joint   Anterior dislocation of unspecified sternoclavicular joint
41977 S43216A 1 Anterior dislocation of unsp sternoclavicular joint, init    Anterior dislocation of unspecified sternoclavicular joint, initial encounter
41978 S43216D 1 Anterior dislocation of unsp sternoclavicular joint, subs    Anterior dislocation of unspecified sternoclavicular joint, subsequent encounter
41979 S43216S 1 Anterior dislocation of unsp sternoclavicular joint, sequela Anterior dislocation of unspecified sternoclavicular joint, sequela
41980 S4322   0 Posterior subluxation and dislocation of sternoclav jt       Posterior subluxation and dislocation of sternoclavicular joint
41981 S43221  0 Posterior subluxation of right sternoclavicular joint        Posterior subluxation of right sternoclavicular joint
41982 S43221A 1 Posterior subluxation of right sternoclavicular joint, init  Posterior subluxation of right sternoclavicular joint, initial encounter
41983 S43221D 1 Posterior subluxation of right sternoclavicular joint, subs  Posterior subluxation of right sternoclavicular joint, subsequent encounter
41984 S43221S 1 Posterior subluxation of r sternoclav jt, sequela            Posterior subluxation of right sternoclavicular joint, sequela
41985 S43222  0 Posterior subluxation of left sternoclavicular joint         Posterior subluxation of left sternoclavicular joint
41986 S43222A 1 Posterior subluxation of left sternoclavicular joint, init   Posterior subluxation of left sternoclavicular joint, initial encounter
41987 S43222D 1 Posterior subluxation of left sternoclavicular joint, subs   Posterior subluxation of left sternoclavicular joint, subsequent encounter
41988 S43222S 1 Posterior subluxation of l sternoclav jt, sequela            Posterior subluxation of left sternoclavicular joint, sequela
41989 S43223  0 Posterior subluxation of unspecified sternoclavicular joint  Posterior subluxation of unspecified sternoclavicular joint
41990 S43223A 1 Posterior subluxation of unsp sternoclavicular joint, init   Posterior subluxation of unspecified sternoclavicular joint, initial encounter
41991 S43223D 1 Posterior subluxation of unsp sternoclavicular joint, subs   Posterior subluxation of unspecified sternoclavicular joint, subsequent encounter
41992 S43223S 1 Posterior subluxation of unsp sternoclav jt, sequela         Posterior subluxation of unspecified sternoclavicular joint, sequela
41993 S43224  0 Posterior dislocation of right sternoclavicular joint        Posterior dislocation of right sternoclavicular joint
41994 S43224A 1 Posterior dislocation of right sternoclavicular joint, init  Posterior dislocation of right sternoclavicular joint, initial encounter
41995 S43224D 1 Posterior dislocation of right sternoclavicular joint, subs  Posterior dislocation of right sternoclavicular joint, subsequent encounter
41996 S43224S 1 Posterior dislocation of r sternoclav jt, sequela            Posterior dislocation of right sternoclavicular joint, sequela
41997 S43225  0 Posterior dislocation of left sternoclavicular joint         Posterior dislocation of left sternoclavicular joint
41998 S43225A 1 Posterior dislocation of left sternoclavicular joint, init   Posterior dislocation of left sternoclavicular joint, initial encounter
41999 S43225D 1 Posterior dislocation of left sternoclavicular joint, subs   Posterior dislocation of left sternoclavicular joint, subsequent encounter
42000 S43225S 1 Posterior dislocation of l sternoclav jt, sequela            Posterior dislocation of left sternoclavicular joint, sequela
42001 S43226  0 Posterior dislocation of unspecified sternoclavicular joint  Posterior dislocation of unspecified sternoclavicular joint
42002 S43226A 1 Posterior dislocation of unsp sternoclavicular joint, init   Posterior dislocation of unspecified sternoclavicular joint, initial encounter
42003 S43226D 1 Posterior dislocation of unsp sternoclavicular joint, subs   Posterior dislocation of unspecified sternoclavicular joint, subsequent encounter
42004 S43226S 1 Posterior dislocation of unsp sternoclav jt, sequela         Posterior dislocation of unspecified sternoclavicular joint, sequela
42005 S433    0 Subluxation and disloc of and unsp parts of shoulder girdle  Subluxation and dislocation of other and unspecified parts of shoulder girdle
42006 S4330   0 Subluxation and dislocation of unsp parts of shoulder girdle Subluxation and dislocation of unspecified parts of shoulder girdle
42007 S43301  0 Subluxation of unspecified parts of right shoulder girdle    Subluxation of unspecified parts of right shoulder girdle
42008 S43301A 1 Subluxation of unsp parts of right shoulder girdle, init     Subluxation of unspecified parts of right shoulder girdle, initial encounter
42009 S43301D 1 Subluxation of unsp parts of right shoulder girdle, subs     Subluxation of unspecified parts of right shoulder girdle, subsequent encounter
42010 S43301S 1 Subluxation of unsp parts of right shoulder girdle, sequela  Subluxation of unspecified parts of right shoulder girdle, sequela
42011 S43302  0 Subluxation of unspecified parts of left shoulder girdle     Subluxation of unspecified parts of left shoulder girdle
42012 S43302A 1 Subluxation of unsp parts of left shoulder girdle, init      Subluxation of unspecified parts of left shoulder girdle, initial encounter
42013 S43302D 1 Subluxation of unsp parts of left shoulder girdle, subs      Subluxation of unspecified parts of left shoulder girdle, subsequent encounter
42014 S43302S 1 Subluxation of unsp parts of left shoulder girdle, sequela   Subluxation of unspecified parts of left shoulder girdle, sequela
42015 S43303  0 Subluxation of unsp parts of unspecified shoulder girdle     Subluxation of unspecified parts of unspecified shoulder girdle
42016 S43303A 1 Subluxation of unsp parts of unsp shoulder girdle, init      Subluxation of unspecified parts of unspecified shoulder girdle, initial encounter
42017 S43303D 1 Subluxation of unsp parts of unsp shoulder girdle, subs      Subluxation of unspecified parts of unspecified shoulder girdle, subsequent encounter
42018 S43303S 1 Subluxation of unsp parts of unsp shoulder girdle, sequela   Subluxation of unspecified parts of unspecified shoulder girdle, sequela
42019 S43304  0 Dislocation of unspecified parts of right shoulder girdle    Dislocation of unspecified parts of right shoulder girdle
42020 S43304A 1 Dislocation of unsp parts of right shoulder girdle, init     Dislocation of unspecified parts of right shoulder girdle, initial encounter
42021 S43304D 1 Dislocation of unsp parts of right shoulder girdle, subs     Dislocation of unspecified parts of right shoulder girdle, subsequent encounter
42022 S43304S 1 Dislocation of unsp parts of right shoulder girdle, sequela  Dislocation of unspecified parts of right shoulder girdle, sequela
42023 S43305  0 Dislocation of unspecified parts of left shoulder girdle     Dislocation of unspecified parts of left shoulder girdle
42024 S43305A 1 Dislocation of unsp parts of left shoulder girdle, init      Dislocation of unspecified parts of left shoulder girdle, initial encounter
42025 S43305D 1 Dislocation of unsp parts of left shoulder girdle, subs      Dislocation of unspecified parts of left shoulder girdle, subsequent encounter
42026 S43305S 1 Dislocation of unsp parts of left shoulder girdle, sequela   Dislocation of unspecified parts of left shoulder girdle, sequela
42027 S43306  0 Dislocation of unsp parts of unspecified shoulder girdle     Dislocation of unspecified parts of unspecified shoulder girdle
42028 S43306A 1 Dislocation of unsp parts of unsp shoulder girdle, init      Dislocation of unspecified parts of unspecified shoulder girdle, initial encounter
42029 S43306D 1 Dislocation of unsp parts of unsp shoulder girdle, subs      Dislocation of unspecified parts of unspecified shoulder girdle, subsequent encounter
42030 S43306S 1 Dislocation of unsp parts of unsp shoulder girdle, sequela   Dislocation of unspecified parts of unspecified shoulder girdle, sequela
42031 S4331   0 Subluxation and dislocation of scapula                       Subluxation and dislocation of scapula
42032 S43311  0 Subluxation of right scapula                                 Subluxation of right scapula
42033 S43311A 1 Subluxation of right scapula, initial encounter              Subluxation of right scapula, initial encounter
42034 S43311D 1 Subluxation of right scapula, subsequent encounter           Subluxation of right scapula, subsequent encounter
42035 S43311S 1 Subluxation of right scapula, sequela                        Subluxation of right scapula, sequela
42036 S43312  0 Subluxation of left scapula                                  Subluxation of left scapula
42037 S43312A 1 Subluxation of left scapula, initial encounter               Subluxation of left scapula, initial encounter
42038 S43312D 1 Subluxation of left scapula, subsequent encounter            Subluxation of left scapula, subsequent encounter
42039 S43312S 1 Subluxation of left scapula, sequela                         Subluxation of left scapula, sequela
42040 S43313  0 Subluxation of unspecified scapula                           Subluxation of unspecified scapula
42041 S43313A 1 Subluxation of unspecified scapula, initial encounter        Subluxation of unspecified scapula, initial encounter
42042 S43313D 1 Subluxation of unspecified scapula, subsequent encounter     Subluxation of unspecified scapula, subsequent encounter
42043 S43313S 1 Subluxation of unspecified scapula, sequela                  Subluxation of unspecified scapula, sequela
42044 S43314  0 Dislocation of right scapula                                 Dislocation of right scapula
42045 S43314A 1 Dislocation of right scapula, initial encounter              Dislocation of right scapula, initial encounter
42046 S43314D 1 Dislocation of right scapula, subsequent encounter           Dislocation of right scapula, subsequent encounter
42047 S43314S 1 Dislocation of right scapula, sequela                        Dislocation of right scapula, sequela
42048 S43315  0 Dislocation of left scapula                                  Dislocation of left scapula
42049 S43315A 1 Dislocation of left scapula, initial encounter               Dislocation of left scapula, initial encounter
42050 S43315D 1 Dislocation of left scapula, subsequent encounter            Dislocation of left scapula, subsequent encounter
42051 S43315S 1 Dislocation of left scapula, sequela                         Dislocation of left scapula, sequela
42052 S43316  0 Dislocation of unspecified scapula                           Dislocation of unspecified scapula
42053 S43316A 1 Dislocation of unspecified scapula, initial encounter        Dislocation of unspecified scapula, initial encounter
42054 S43316D 1 Dislocation of unspecified scapula, subsequent encounter     Dislocation of unspecified scapula, subsequent encounter
42055 S43316S 1 Dislocation of unspecified scapula, sequela                  Dislocation of unspecified scapula, sequela
42056 S4339   0 Subluxation and dislocation of oth parts of shoulder girdle  Subluxation and dislocation of other parts of shoulder girdle
42057 S43391  0 Subluxation of other parts of right shoulder girdle          Subluxation of other parts of right shoulder girdle
42058 S43391A 1 Subluxation of oth prt right shoulder girdle, init encntr    Subluxation of other parts of right shoulder girdle, initial encounter
42059 S43391D 1 Subluxation of oth prt right shoulder girdle, subs encntr    Subluxation of other parts of right shoulder girdle, subsequent encounter
42060 S43391S 1 Subluxation of other parts of right shoulder girdle, sequela Subluxation of other parts of right shoulder girdle, sequela
42061 S43392  0 Subluxation of other parts of left shoulder girdle           Subluxation of other parts of left shoulder girdle
42062 S43392A 1 Subluxation of oth prt left shoulder girdle, init encntr     Subluxation of other parts of left shoulder girdle, initial encounter
42063 S43392D 1 Subluxation of oth prt left shoulder girdle, subs encntr     Subluxation of other parts of left shoulder girdle, subsequent encounter
42064 S43392S 1 Subluxation of other parts of left shoulder girdle, sequela  Subluxation of other parts of left shoulder girdle, sequela
42065 S43393  0 Subluxation of other parts of unspecified shoulder girdle    Subluxation of other parts of unspecified shoulder girdle
42066 S43393A 1 Subluxation of oth prt unsp shoulder girdle, init encntr     Subluxation of other parts of unspecified shoulder girdle, initial encounter
42067 S43393D 1 Subluxation of oth prt unsp shoulder girdle, subs encntr     Subluxation of other parts of unspecified shoulder girdle, subsequent encounter
42068 S43393S 1 Subluxation of other parts of unsp shoulder girdle, sequela  Subluxation of other parts of unspecified shoulder girdle, sequela
42069 S43394  0 Dislocation of other parts of right shoulder girdle          Dislocation of other parts of right shoulder girdle
42070 S43394A 1 Dislocation of oth prt right shoulder girdle, init encntr    Dislocation of other parts of right shoulder girdle, initial encounter
42071 S43394D 1 Dislocation of oth prt right shoulder girdle, subs encntr    Dislocation of other parts of right shoulder girdle, subsequent encounter
42072 S43394S 1 Dislocation of other parts of right shoulder girdle, sequela Dislocation of other parts of right shoulder girdle, sequela
42073 S43395  0 Dislocation of other parts of left shoulder girdle           Dislocation of other parts of left shoulder girdle
42074 S43395A 1 Dislocation of oth prt left shoulder girdle, init encntr     Dislocation of other parts of left shoulder girdle, initial encounter
42075 S43395D 1 Dislocation of oth prt left shoulder girdle, subs encntr     Dislocation of other parts of left shoulder girdle, subsequent encounter
42076 S43395S 1 Dislocation of other parts of left shoulder girdle, sequela  Dislocation of other parts of left shoulder girdle, sequela
42077 S43396  0 Dislocation of other parts of unspecified shoulder girdle    Dislocation of other parts of unspecified shoulder girdle
42078 S43396A 1 Dislocation of oth prt unsp shoulder girdle, init encntr     Dislocation of other parts of unspecified shoulder girdle, initial encounter
42079 S43396D 1 Dislocation of oth prt unsp shoulder girdle, subs encntr     Dislocation of other parts of unspecified shoulder girdle, subsequent encounter
42080 S43396S 1 Dislocation of other parts of unsp shoulder girdle, sequela  Dislocation of other parts of unspecified shoulder girdle, sequela
42081 S434    0 Sprain of shoulder joint                                     Sprain of shoulder joint
42082 S4340   0 Unspecified sprain of shoulder joint                         Unspecified sprain of shoulder joint
42083 S43401  0 Unspecified sprain of right shoulder joint                   Unspecified sprain of right shoulder joint
42084 S43401A 1 Unspecified sprain of right shoulder joint, init encntr      Unspecified sprain of right shoulder joint, initial encounter
42085 S43401D 1 Unspecified sprain of right shoulder joint, subs encntr      Unspecified sprain of right shoulder joint, subsequent encounter
42086 S43401S 1 Unspecified sprain of right shoulder joint, sequela          Unspecified sprain of right shoulder joint, sequela
42087 S43402  0 Unspecified sprain of left shoulder joint                    Unspecified sprain of left shoulder joint
42088 S43402A 1 Unspecified sprain of left shoulder joint, initial encounter Unspecified sprain of left shoulder joint, initial encounter
42089 S43402D 1 Unspecified sprain of left shoulder joint, subs encntr       Unspecified sprain of left shoulder joint, subsequent encounter
42090 S43402S 1 Unspecified sprain of left shoulder joint, sequela           Unspecified sprain of left shoulder joint, sequela
42091 S43409  0 Unspecified sprain of unspecified shoulder joint             Unspecified sprain of unspecified shoulder joint
42092 S43409A 1 Unsp sprain of unspecified shoulder joint, init encntr       Unspecified sprain of unspecified shoulder joint, initial encounter
42093 S43409D 1 Unsp sprain of unspecified shoulder joint, subs encntr       Unspecified sprain of unspecified shoulder joint, subsequent encounter
42094 S43409S 1 Unspecified sprain of unspecified shoulder joint, sequela    Unspecified sprain of unspecified shoulder joint, sequela
42095 S4341   0 Sprain of coracohumeral (ligament)                           Sprain of coracohumeral (ligament)
42096 S43411  0 Sprain of right coracohumeral (ligament)                     Sprain of right coracohumeral (ligament)
42097 S43411A 1 Sprain of right coracohumeral (ligament), initial encounter  Sprain of right coracohumeral (ligament), initial encounter
42098 S43411D 1 Sprain of right coracohumeral (ligament), subs encntr        Sprain of right coracohumeral (ligament), subsequent encounter
42099 S43411S 1 Sprain of right coracohumeral (ligament), sequela            Sprain of right coracohumeral (ligament), sequela
42100 S43412  0 Sprain of left coracohumeral (ligament)                      Sprain of left coracohumeral (ligament)
42101 S43412A 1 Sprain of left coracohumeral (ligament), initial encounter   Sprain of left coracohumeral (ligament), initial encounter
42102 S43412D 1 Sprain of left coracohumeral (ligament), subs encntr         Sprain of left coracohumeral (ligament), subsequent encounter
42103 S43412S 1 Sprain of left coracohumeral (ligament), sequela             Sprain of left coracohumeral (ligament), sequela
42104 S43419  0 Sprain of unspecified coracohumeral (ligament)               Sprain of unspecified coracohumeral (ligament)
42105 S43419A 1 Sprain of unspecified coracohumeral (ligament), init encntr  Sprain of unspecified coracohumeral (ligament), initial encounter
42106 S43419D 1 Sprain of unspecified coracohumeral (ligament), subs encntr  Sprain of unspecified coracohumeral (ligament), subsequent encounter
42107 S43419S 1 Sprain of unspecified coracohumeral (ligament), sequela      Sprain of unspecified coracohumeral (ligament), sequela
42108 S4342   0 Sprain of rotator cuff capsule                               Sprain of rotator cuff capsule
42109 S43421  0 Sprain of right rotator cuff capsule                         Sprain of right rotator cuff capsule
42110 S43421A 1 Sprain of right rotator cuff capsule, initial encounter      Sprain of right rotator cuff capsule, initial encounter
42111 S43421D 1 Sprain of right rotator cuff capsule, subsequent encounter   Sprain of right rotator cuff capsule, subsequent encounter
42112 S43421S 1 Sprain of right rotator cuff capsule, sequela                Sprain of right rotator cuff capsule, sequela
42113 S43422  0 Sprain of left rotator cuff capsule                          Sprain of left rotator cuff capsule
42114 S43422A 1 Sprain of left rotator cuff capsule, initial encounter       Sprain of left rotator cuff capsule, initial encounter
42115 S43422D 1 Sprain of left rotator cuff capsule, subsequent encounter    Sprain of left rotator cuff capsule, subsequent encounter
42116 S43422S 1 Sprain of left rotator cuff capsule, sequela                 Sprain of left rotator cuff capsule, sequela
42117 S43429  0 Sprain of unspecified rotator cuff capsule                   Sprain of unspecified rotator cuff capsule
42118 S43429A 1 Sprain of unspecified rotator cuff capsule, init encntr      Sprain of unspecified rotator cuff capsule, initial encounter
42119 S43429D 1 Sprain of unspecified rotator cuff capsule, subs encntr      Sprain of unspecified rotator cuff capsule, subsequent encounter
42120 S43429S 1 Sprain of unspecified rotator cuff capsule, sequela          Sprain of unspecified rotator cuff capsule, sequela
42121 S4343   0 Superior glenoid labrum lesion                               Superior glenoid labrum lesion
42122 S43431  0 Superior glenoid labrum lesion of right shoulder             Superior glenoid labrum lesion of right shoulder
42123 S43431A 1 Superior glenoid labrum lesion of right shoulder, init       Superior glenoid labrum lesion of right shoulder, initial encounter
42124 S43431D 1 Superior glenoid labrum lesion of right shoulder, subs       Superior glenoid labrum lesion of right shoulder, subsequent encounter
42125 S43431S 1 Superior glenoid labrum lesion of right shoulder, sequela    Superior glenoid labrum lesion of right shoulder, sequela
42126 S43432  0 Superior glenoid labrum lesion of left shoulder              Superior glenoid labrum lesion of left shoulder
42127 S43432A 1 Superior glenoid labrum lesion of left shoulder, init encntr Superior glenoid labrum lesion of left shoulder, initial encounter
42128 S43432D 1 Superior glenoid labrum lesion of left shoulder, subs encntr Superior glenoid labrum lesion of left shoulder, subsequent encounter
42129 S43432S 1 Superior glenoid labrum lesion of left shoulder, sequela     Superior glenoid labrum lesion of left shoulder, sequela
42130 S43439  0 Superior glenoid labrum lesion of unspecified shoulder       Superior glenoid labrum lesion of unspecified shoulder
42131 S43439A 1 Superior glenoid labrum lesion of unsp shoulder, init encntr Superior glenoid labrum lesion of unspecified shoulder, initial encounter
42132 S43439D 1 Superior glenoid labrum lesion of unsp shoulder, subs encntr Superior glenoid labrum lesion of unspecified shoulder, subsequent encounter
42133 S43439S 1 Superior glenoid labrum lesion of unsp shoulder, sequela     Superior glenoid labrum lesion of unspecified shoulder, sequela
42134 S4349   0 Other sprain of shoulder joint                               Other sprain of shoulder joint
42135 S43491  0 Other sprain of right shoulder joint                         Other sprain of right shoulder joint
42136 S43491A 1 Other sprain of right shoulder joint, initial encounter      Other sprain of right shoulder joint, initial encounter
42137 S43491D 1 Other sprain of right shoulder joint, subsequent encounter   Other sprain of right shoulder joint, subsequent encounter
42138 S43491S 1 Other sprain of right shoulder joint, sequela                Other sprain of right shoulder joint, sequela
42139 S43492  0 Other sprain of left shoulder joint                          Other sprain of left shoulder joint
42140 S43492A 1 Other sprain of left shoulder joint, initial encounter       Other sprain of left shoulder joint, initial encounter
42141 S43492D 1 Other sprain of left shoulder joint, subsequent encounter    Other sprain of left shoulder joint, subsequent encounter
42142 S43492S 1 Other sprain of left shoulder joint, sequela                 Other sprain of left shoulder joint, sequela
42143 S43499  0 Other sprain of unspecified shoulder joint                   Other sprain of unspecified shoulder joint
42144 S43499A 1 Other sprain of unspecified shoulder joint, init encntr      Other sprain of unspecified shoulder joint, initial encounter
42145 S43499D 1 Other sprain of unspecified shoulder joint, subs encntr      Other sprain of unspecified shoulder joint, subsequent encounter
42146 S43499S 1 Other sprain of unspecified shoulder joint, sequela          Other sprain of unspecified shoulder joint, sequela
42147 S435    0 Sprain of acromioclavicular joint                            Sprain of acromioclavicular joint
42148 S4350   0 Sprain of unspecified acromioclavicular joint                Sprain of unspecified acromioclavicular joint
42149 S4350XA 1 Sprain of unspecified acromioclavicular joint, init encntr   Sprain of unspecified acromioclavicular joint, initial encounter
42150 S4350XD 1 Sprain of unspecified acromioclavicular joint, subs encntr   Sprain of unspecified acromioclavicular joint, subsequent encounter
42151 S4350XS 1 Sprain of unspecified acromioclavicular joint, sequela       Sprain of unspecified acromioclavicular joint, sequela
42152 S4351   0 Sprain of right acromioclavicular joint                      Sprain of right acromioclavicular joint
42153 S4351XA 1 Sprain of right acromioclavicular joint, initial encounter   Sprain of right acromioclavicular joint, initial encounter
42154 S4351XD 1 Sprain of right acromioclavicular joint, subs encntr         Sprain of right acromioclavicular joint, subsequent encounter
42155 S4351XS 1 Sprain of right acromioclavicular joint, sequela             Sprain of right acromioclavicular joint, sequela
42156 S4352   0 Sprain of left acromioclavicular joint                       Sprain of left acromioclavicular joint
42157 S4352XA 1 Sprain of left acromioclavicular joint, initial encounter    Sprain of left acromioclavicular joint, initial encounter
42158 S4352XD 1 Sprain of left acromioclavicular joint, subsequent encounter Sprain of left acromioclavicular joint, subsequent encounter
42159 S4352XS 1 Sprain of left acromioclavicular joint, sequela              Sprain of left acromioclavicular joint, sequela
42160 S436    0 Sprain of sternoclavicular joint                             Sprain of sternoclavicular joint
42161 S4360   0 Sprain of unspecified sternoclavicular joint                 Sprain of unspecified sternoclavicular joint
42162 S4360XA 1 Sprain of unspecified sternoclavicular joint, init encntr    Sprain of unspecified sternoclavicular joint, initial encounter
42163 S4360XD 1 Sprain of unspecified sternoclavicular joint, subs encntr    Sprain of unspecified sternoclavicular joint, subsequent encounter
42164 S4360XS 1 Sprain of unspecified sternoclavicular joint, sequela        Sprain of unspecified sternoclavicular joint, sequela
42165 S4361   0 Sprain of right sternoclavicular joint                       Sprain of right sternoclavicular joint
42166 S4361XA 1 Sprain of right sternoclavicular joint, initial encounter    Sprain of right sternoclavicular joint, initial encounter
42167 S4361XD 1 Sprain of right sternoclavicular joint, subsequent encounter Sprain of right sternoclavicular joint, subsequent encounter
42168 S4361XS 1 Sprain of right sternoclavicular joint, sequela              Sprain of right sternoclavicular joint, sequela
42169 S4362   0 Sprain of left sternoclavicular joint                        Sprain of left sternoclavicular joint
42170 S4362XA 1 Sprain of left sternoclavicular joint, initial encounter     Sprain of left sternoclavicular joint, initial encounter
42171 S4362XD 1 Sprain of left sternoclavicular joint, subsequent encounter  Sprain of left sternoclavicular joint, subsequent encounter
42172 S4362XS 1 Sprain of left sternoclavicular joint, sequela               Sprain of left sternoclavicular joint, sequela
42173 S438    0 Sprain of other specified parts of shoulder girdle           Sprain of other specified parts of shoulder girdle
42174 S4380   0 Sprain of oth parts of unspecified shoulder girdle           Sprain of other specified parts of unspecified shoulder girdle
42175 S4380XA 1 Sprain of oth parts of unsp shoulder girdle, init encntr     Sprain of other specified parts of unspecified shoulder girdle, initial encounter
42176 S4380XD 1 Sprain of oth parts of unsp shoulder girdle, subs encntr     Sprain of other specified parts of unspecified shoulder girdle, subsequent encounter
42177 S4380XS 1 Sprain of oth parts of unspecified shoulder girdle, sequela  Sprain of other specified parts of unspecified shoulder girdle, sequela
42178 S4381   0 Sprain of other specified parts of right shoulder girdle     Sprain of other specified parts of right shoulder girdle
42179 S4381XA 1 Sprain of oth parts of right shoulder girdle, init encntr    Sprain of other specified parts of right shoulder girdle, initial encounter
42180 S4381XD 1 Sprain of oth parts of right shoulder girdle, subs encntr    Sprain of other specified parts of right shoulder girdle, subsequent encounter
42181 S4381XS 1 Sprain of oth parts of right shoulder girdle, sequela        Sprain of other specified parts of right shoulder girdle, sequela
42182 S4382   0 Sprain of other specified parts of left shoulder girdle      Sprain of other specified parts of left shoulder girdle
42183 S4382XA 1 Sprain of oth parts of left shoulder girdle, init encntr     Sprain of other specified parts of left shoulder girdle, initial encounter
42184 S4382XD 1 Sprain of oth parts of left shoulder girdle, subs encntr     Sprain of other specified parts of left shoulder girdle, subsequent encounter
42185 S4382XS 1 Sprain of oth parts of left shoulder girdle, sequela         Sprain of other specified parts of left shoulder girdle, sequela
42186 S439    0 Sprain of unspecified parts of shoulder girdle               Sprain of unspecified parts of shoulder girdle
42187 S4390   0 Sprain of unspecified parts of unspecified shoulder girdle   Sprain of unspecified parts of unspecified shoulder girdle
